pvalue	Description	condition	NES	geneID
1.3925364155746257e-5	invasive growth in response to glucose limitation	pg_pd	1.9653072212797187	STE7/SDS3/POF1/PTP1/YTA7/SIP2/STE11/STE4/NCS2
3.772371108165866e-5	silent mating-type cassette heterochromatin formation	pg_pd	1.899302029932138	SDS3/SIR4/SIR3/ESC2/SIR2/SIR1/DEP1/MRC1/NUP60/NUP2
4.901143122668328e-5	response to pheromone	pg_pd	1.861597994740821	STE7/STE2/STE14/FAR1/STE11/STE4/YJR084W/MFA1/STE24/SST2/SAG1/BEM4/RCE1/GPA1/STE20/AFB1/FPK1/MFA2/EFG1
1.3875632836702142e-4	invasive filamentous growth	pg_pd	1.8925828332193178	STE7/SDS3/POF1/PTP1/YTA7/SIP2/STE11/STE4/NCS2
2.8381654053322885e-4	growth of unicellular organism as a thread of attached cells	pg_pd	1.7717133533031195	STE7/SDS3/POF1/PTP1/YTA7/SIP2/ELM1/STE11/PEA2/STE4/NCS2/TPM1/STE20/KSP1/TEC1/RIM21/RIM20/ASH1/SFG1
3.3812843908610904e-4	telomere localization	pg_pd	1.7985078511783508	SIR4/SIR3/SIR2/NUP60/CTF8
3.3812843908610904e-4	telomere tethering at nuclear periphery	pg_pd	1.7985078511783508	SIR4/SIR3/SIR2/NUP60/CTF8
3.546782811502349e-4	ribonucleoprotein complex biogenesis	pg_pd	1.6091800884688687	RPS24B/RTC6/RPS18B/LOT5/RPS14A/RTC3/RPL26B/RPS0A/ZUO1/ACL4/IXR1/MPP6/RPS26B/TIF2/TIF4631/SSB1/BRR1/RPL35B/RPL40B/RSA3/RPL34A/PUF6/RPS10B/RPS1A/RPS28B/RPL37B/SKY1/CDC73/RPS27B/HIT1/SPT8/RRP8/NGL2/HPM1/EFG1/TSR2/CGR1/RPL26A/THO1/RPS28A/HSP82/RPL6A/RPL12A/RPS16A/RPA34
3.945834337960954e-4	protein-containing complex localization	pg_pd	1.802547623296131	SIR4/SIR3/SIR2/RPS18B/RPS0A/ZUO1/TRS33/RPS26B/SSB1/RPL40B/RPS10B/RPS28B
3.967568568326187e-4	growth	pg_pd	1.6772872771097425	STE7/SDS3/POF1/PTP1/CAP2/YTA7/SIP2/ELM1/BNI1/STE11/PEA2/STE4/NCS2/TPM1
4.4645387485478977e-4	filamentous growth of a population of unicellular organisms	pg_pd	1.7336628356149464	STE7/SDS3/POF1/PTP1/YTA7/SIP2/ELM1/STE11/PEA2/STE4/NCS2/TPM1/STE20/KSP1/TEC1/RIM21/RIM20/ASH1/SFG1
4.506703784984442e-4	filamentous growth	pg_pd	1.7144284361298625	STE7/SDS3/POF1/PTP1/CAP2/YTA7/SIP2/ELM1/STE11/PEA2/STE4/NCS2/TPM1
6.090664593293931e-4	cellular component biogenesis	pg_pd	1.3544623064057346	CFD1/YEA4/RPS24B/YPT52/RTC6/MHF2/CDA2/CWP1/SIR4/CAP2/SIP2/ELM1/TMA17/BNI1/FUS2/RPS18B/LOT5/RPS14A/POM152/RTC3/ATP20/RPL26B/RPS0A/UTH1/HHF1/ZUO1/TRS33/VPS1/ACL4/IXR1/TUS1/TRS85/TPM1/MPP6/RPS26B/TIF2/TIF4631/ASE1/SSB1/BRR1/BCH2/RPL35B/SDH5/RAV1/RPL40B/RSA3/GID12/ATP18/RVS161/GIM5/NEM1/RPL34A/MPC54/SPS1/POM34/PUF6/INA22/COA2/AIP1/RPS10B/RPS1A/SHE10/RPS28B/STE20/QDR3/MVB12/RPL37B/SKY1/ENT2/RIM101/CDC73/ORM2/VPS30/PAC10/CAC2/SOM1/HHF2/ATP10/RPS27B/HIT1/RIM21/SPT8/SKI8/FLC3/RRP8/RBL2/PET122/NGL2/HPM1/ATG3/EFG1/SHU2/ROT2/GAS4/TSR2/CGR1/SAT4/RPL26A/COX23/SSP2/THO1/CDA1/RPS28A/PUB1/OXA1/HSP82/CHL4/RPL6A/BMH1/FLC1/RAD55/FLC2/ISA2/MRP7/RPL12A
6.943912594404584e-4	conjugation with cellular fusion	pg_pd	1.7331589823201206	STE7/HUB1/STE2/FAR1/STE11/STE4/FUS2/MFA1/STE24/SAG1/RCE1/GPA1/RVS161/NIP100/BEM1/STE20/AFB1/FPK1/MFA2/SCW4/EFG1/LRG1/FUS1
8.20393694683419e-4	RNA processing	pg_pd	1.5261762695499004	CFD1/MSL1/RPS24B/HUB1/RPS18B/LOT5/KTI12/YJR084W/RPS14A/NCS2/RTC3/RPS0A/ZUO1/MPP6/RPS26B/ELP4/SSB1/BRR1/RPL35B/TCD1/MTO1/RPS1A/DEG1/RPS28B/RPL37B/SKY1/CDC73/ATS1/EDC1/KNS1/ELP6/RPS27B/HIT1/RRP8/ELP3/NGL2/MSS1/PET54/EFG1/KTI11/TSR2/LHP1/CGR1
9.568273415780115e-4	tRNA wobble base modification	pg_pd	1.7399689886135068	CFD1/KTI12/NCS2/ELP4/MTO1/ATS1/ELP6/ELP3/MSS1/KTI11
0.0010058430724864766	cellular response to pheromone	pg_pd	1.761236721065716	STE7/STE2/FAR1/STE11/STE4/YJR084W/MFA1/SST2/SAG1/GPA1/STE20/AFB1/FPK1/MFA2/EFG1
0.0011979290957194507	organelle localization	pg_pd	1.5882260085994657	SIR4/SIR3/BNI1/SIR2/RPS18B/PAC1/RPS0A/ZUO1/LDB18/RPS26B/GCS1/SSB1/NUP60/GPA1/MMR1/RPL40B/SMY1/NIP100/CTF8/MPC54/NAT3/RPS10B/RPS28B/LRS4/TCB2
0.0012219789217657066	tRNA wobble uridine modification	pg_pd	1.7714990854917656	CFD1/KTI12/NCS2/ELP4/MTO1/ATS1/ELP6/ELP3/MSS1/KTI11
0.001251054519466451	response to pheromone triggering conjugation with cellular fusion	pg_pd	1.7414287641396773	STE7/STE2/FAR1/STE11/STE4/MFA1/SAG1/GPA1/STE20/AFB1/FPK1/MFA2/EFG1
0.001360290721936785	ribosome biogenesis	pg_pd	1.576560691936593	RPS24B/RTC6/RPS18B/RPS14A/RTC3/RPL26B/RPS0A/ZUO1/ACL4/IXR1/MPP6/RPS26B/TIF4631/SSB1/RPL35B/RPL40B/RSA3/RPL34A/PUF6/RPS10B/RPS1A/RPS28B/RPL37B/RPS27B/HIT1/SPT8/RRP8/NGL2/HPM1/EFG1/TSR2/CGR1/RPL26A
0.0015092117877200137	regulation of heterochromatin formation	pg_pd	1.73043548483218	SDS3/SIR4/DEP1
0.0015092117877200137	regulation of heterochromatin organization	pg_pd	1.73043548483218	SDS3/SIR4/DEP1
0.001550761508768355	ribosomal subunit export from nucleus	pg_pd	1.7392489445101418	RPS18B/RPS0A/ZUO1/RPS26B/SSB1/RPL40B/RPS10B/RPS28B
0.0016665696417746472	constitutive heterochromatin formation	pg_pd	1.6889743130272488	SDS3/BRE1/SIR4/SIR3/ESC2/SIR2/SIR1/DEP1/IES3/MRC1/NUP60/SDC1/NUP2
0.0020688160026153604	ribosome localization	pg_pd	1.7203604450677767	RPS18B/RPS0A/ZUO1/RPS26B/SSB1/RPL40B/RPS10B/RPS28B
0.0025519737914550637	positive regulation of molecular function	pg_pd	1.7429223417888513	RAS1/ESC2/PAC1/IGO2
0.002751535890634954	cytoplasmic translation	pg_pd	1.5954328480694908	RPS24B/RPS18B/RPS14A/RPS25A/RPL26B/RPS29A/RPS0A/RPL31B/RPL36A/RPS26B/TIF2/TIF4631/SSB1/RPL35B/RPL9A/RPL40B/RPL34A/RPS10B/RPS1A/RPS28B/RPL37B
0.0029184122239506952	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	pg_pd	1.7000421700130819	RPS24B/RPS18B/RPS14A/RPS0A/RPS1A/RPS27B/EFG1/TSR2
0.0031073315922660154	regulation of conjugation with cellular fusion	pg_pd	1.6654328660480402	STE7/STE2/STE11/STE4/MFA1/GPA1/STE20
0.003230824276743154	pseudohyphal growth	pg_pd	1.646546073262746	STE7/POF1/PTP1/ELM1/STE11/PEA2/NCS2/TPM1/STE20/KSP1/TEC1/ASH1/SFG1
0.003277609851607425	protein-containing complex organization	pg_pd	1.3439119019572818	MHF2/SDS3/BRE1/SIR4/SIR3/CAP2/YTA7/SIP2/ELM1/TMA17/BNI1/ESC2/SIR2/LOT5/SIR1/RPS14A/DEP1/POM152/RAD54/ATP20/RPS0A/HHF1/TRS33/EAF7/VPS1/TIF2/HSP104/TIF4631/NGG1/SSB1/BRR1/IES3/SDH5/MRC1/NUP60/RAV1/RPL40B/RSA3/GID12/ATP18/RVS161/GIM5/POM34/SWA2/INA22/COA2/AIP1/RDH54/SDC1/NUP2/CHZ1/RPS28B/STE20/MVB12/SKY1/CDC73/NUP188/HPC2/LRS4/NHP10/IRS4/PAC10/CAC2/SOM1/HHF2/ATP10/RPS27B/HIT1/SPT8/SKI8/SWD1/ASH1/RBL2/PET122/NPL6/HPM1
0.0036230004139601365	ncRNA processing	pg_pd	1.5207935096402945	CFD1/RPS24B/RPS18B/KTI12/RPS14A/NCS2/RTC3/RPS0A/ZUO1/MPP6/RPS26B/ELP4/SSB1/RPL35B/TCD1/MTO1/RPS1A/DEG1/RPS28B/RPL37B/ATS1/ELP6/RPS27B/HIT1/RRP8/ELP3/NGL2/MSS1/EFG1/KTI11/TSR2/LHP1/CGR1
0.0036655153699735187	sex determination	pg_pd	1.6929290748842087	HO/SIR2/RAD27/SGS1/SHE2
0.0036655153699735187	mating type determination	pg_pd	1.6929290748842087	HO/SIR2/RAD27/SGS1/SHE2
0.0036655153699735187	mating type switching	pg_pd	1.6929290748842087	HO/SIR2/RAD27/SGS1/SHE2
0.003783840866834449	cell growth	pg_pd	1.6305533860662509	STE7/POF1/PTP1/ELM1/STE11/PEA2/NCS2/TPM1/STE20/KSP1/TEC1/ASH1/SFG1
0.0041732642039617775	establishment of organelle localization	pg_pd	1.6135346813734643	BNI1/RPS18B/PAC1/RPS0A/ZUO1/LDB18/RPS26B/GCS1/SSB1/GPA1/RPL40B/NIP100/RPS10B/RPS28B/LRS4
0.004195381553144643	rRNA processing	pg_pd	1.5985779358782919	RPS24B/RPS18B/RPS14A/RTC3/RPS0A/ZUO1/MPP6/RPS26B/SSB1/RPL35B/RPS1A/RPS28B/RPL37B/RPS27B/HIT1/RRP8/NGL2/EFG1/TSR2/CGR1
0.0049363093184635705	chromosome localization	pg_pd	1.6932839768552088	SIR4/SIR3/SIR2/NUP60/CTF8/LRS4/RTT107
0.0052139442684908605	DNA replication	pg_pd	1.6036089258545259	MHF2/SLX1/BRE1/SIR3/YTA7/SIR2/DEP1/DDI1/RAD27/MRC1/RNR3/CTF8/SGS1/SLX4
0.005425565921459261	maturation of SSU-rRNA	pg_pd	1.656168060458343	RPS24B/RPS18B/RPS14A/RPS0A/RPS1A/RPS28B/RPS27B/EFG1/TSR2/RPS28A/RPS16A
0.006785843117070762	nucleocytoplasmic transport	pg_pd	1.5600965618842717	RPS18B/YJR084W/POM152/RTG2/MSN5/RPS0A/ZUO1/RPS26B/SSB1/NUP60/KAP120/GPA1/RPL40B/POM34/RPS10B/NUP2/RPS28B/SKY1/NUP188
0.006785843117070762	nuclear transport	pg_pd	1.5600965618842717	RPS18B/YJR084W/POM152/RTG2/MSN5/RPS0A/ZUO1/RPS26B/SSB1/NUP60/KAP120/GPA1/RPL40B/POM34/RPS10B/NUP2/RPS28B/SKY1/NUP188
0.007027468396580133	glycolipid metabolic process	pg_pd	-1.8245402086143079	YJL132W/CWH43/BST1/LAS21
0.007027468396580133	liposaccharide metabolic process	pg_pd	-1.8245402086143079	YJL132W/CWH43/BST1/LAS21
0.0075244202894812345	mitotic recombination	pg_pd	1.6538996534547084	BRE1/HO/RAD54/RAD27/IES5/IES3/SGS1/NHP10/IRC8
0.007667029815364388	inorganic anion transmembrane transport	pg_pd	1.6018448368152631	SYG1/YCR023C/OAC1/ATR1/PHO87/PIC2
0.008411092062943397	protein-RNA complex organization	pg_pd	1.5708290106109646	LOT5/RPS14A/RPS0A/TIF2/HSP104/TIF4631/BRR1/RPL40B/RSA3/RPS28B/SKY1/CDC73/RPS27B/HIT1/HPM1/THO1/RPS28A/HSP82/RPL6A/RPL12A
0.008930329177828935	regulation of molecular function	pg_pd	1.5839428188487215	RAS1/ESC2/PAC1/GRX3/IGO2
0.00906943229578117	reproduction	pg_pd	1.3480089645741076	STE7/MHF2/HUB1/STE2/BRE1/CDA2/CWP1/RMD6/ELM1/HO/FAR1/BNI1/STE11/PEA2/STE4/FUS2/SIR2/MFA1/RAD54/STE24/MLH1/RAD27/VPS1/TRS85/DOM34/SAG1/RCE1/SDH5/MSC1/GPA1/RVS161/NIP100/BEM1/MPC54/SPS1/EMI1/SGS1/RDH54/SHE2/SHE10/SLX4/STE20/QDR3/RIM101/RMD1/LRS4
0.009155564622727343	protein N-linked glycosylation	pg_pd	-1.736007688409115	KTR2/ALG6/KRE2/MNN10/OST6/YMR196W/KTR4/KTR3/GDA1/ALG12
