name	pd1	pd2	pd3	pg1	pg2	pg3	rd1	rd2	rd3	rg1	rg2	rg3	yd1	yd2	yd3	yg1	yg2	yg3
AAC1	385	520	529	393	510	284	585	301	396	533	524	478	2935	1995	2352	831	752	440
AAC3	13	27	17	798	588	217	12	7	12	675	578	541	1029	789	981	681	694	257
AAD3	79	76	184	62	68	50	79	56	66	36	63	93	123	119	90	61	118	54
AAD4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD6	616	71	726	209	170	223	306	131	154	262	170	292	1090	802	689	242	250	73
AAH1	3353	3848	8380	3400	3310	3962	2896	2790	4061	3623	3129	6050	2654	1794	2799	4420	3553	3341
AAN1	1	56	10	19	43	15	63	44	2	18	47	18	173	211	120	22	52	15
AAP1	1165	1151	1227	381	1034	523	445	848	631	503	947	612	587	722	466	461	1474	409
AAT1	749	222	798	432	237	211	653	130	256	512	255	273	1320	1003	1092	368	409	256
AAT2	0	4	1	8	19	0	11	5	0	14	36	0	61	63	32	11	32	2
ABP1	93	149	97	208	67	57	378	192	96	223	110	89	606	556	504	202	224	79
ABP140	258	80	68	137	101	176	172	94	264	149	77	190	563	469	461	146	134	71
ABZ1	3575	10677	13700	2911	8813	6221	3680	8610	7403	3213	9123	9145	5007	4298	3146	4713	10706	4231
ABZ2	0	0	0	2	0	0	0	0	0	4	0	0	2	0	2	0	0	2
ACA1	510	212	279	126	113	66	141	214	107	198	111	134	597	514	578	179	155	58
ACB1	305	249	341	143	432	86	235	523	160	235	300	210	776	727	584	215	199	108
ACF2	215	200	106	273	86	63	362	50	13	303	135	96	610	575	505	111	151	54
ACF4	17256	16641	60719	12996	13924	30229	15132	14810	31129	13801	15022	48371	3836	2995	5117	6824	7565	8544
ACK1	50	94	197	82	126	91	136	171	260	117	188	191	811	767	676	225	282	95
ACL4	6	93	12	163	175	14	176	133	12	132	100	7	341	259	249	96	80	42
ACM1	288	413	417	222	279	265	164	328	248	197	279	245	1441	941	934	458	322	134
ACO2	0	24	301	15	20	72	13	10	62	39	17	143	316	201	178	47	44	31
ACS1	188	707	1868	274	642	688	314	545	749	326	528	640	1028	1033	771	593	1164	338
ADA2	0	0	0	0	0	0	0	0	0	0	0	0	3	36	0	0	12	0
ADD37	0	0	0	0	0	0	1	0	0	0	0	0	10	12	4	2	4	0
ADD66	522	485	903	821	665	319	589	439	224	644	529	600	1355	940	1196	1051	919	556
ADE1	0	0	0	0	0	0	0	0	0	0	0	0	19	6	17	8	8	2
ADE16	5571	7557	16168	5380	6571	6335	4496	4665	6245	5908	6339	11598	2584	1762	2029	7598	8190	6746
ADE17	23770	21151	44780	22329	15149	16992	18241	8427	16359	24096	14011	28914	10314	7376	10809	21983	19300	14086
ADE3	0	0	327	0	0	0	0	0	0	0	0	11	14	6	9	6	2	10
ADE4	4	0	0	0	0	0	4	0	0	0	0	0	0	8	0	2	2	0
ADE6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0
ADH2	179	7	158	104	60	35	46	34	34	78	81	82	506	352	328	102	55	47
ADH4	170	31	2	169	44	0	24	6	2	194	82	1	559	523	539	116	181	69
ADH5	42	351	328	32	156	46	28	236	63	35	159	29	681	425	453	148	162	62
ADH6	267	551	852	266	312	202	285	159	157	356	190	276	2149	1530	1376	433	402	205
ADI1	252	257	671	167	149	122	196	128	211	148	227	236	853	711	629	181	209	91
ADK1	0	0	0	0	0	0	0	0	0	0	0	0	8	6	10	4	4	2
ADK2	1777	758	859	295	600	302	419	1094	358	408	604	345	3537	2904	2746	766	854	361
ADP1	0	27	0	0	26	9	0	2	0	4	30	2	310	130	191	45	63	22
ADR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADY2	234	146	488	114	223	125	94	80	109	113	184	165	485	451	438	326	384	140
ADY3	320	159	366	139	229	148	121	209	311	188	220	171	1654	1375	1420	431	428	172
ADY4	494	164	377	102	155	93	51	365	78	53	134	86	824	717	686	253	231	108
AEP1	0	0	2	8	10	0	0	0	0	9	15	0	99	126	50	13	26	8
AFB1	31	41	72	100	77	48	64	29	44	108	60	45	493	388	395	118	89	58
AFG1	113	147	137	234	172	71	202	197	136	267	160	118	1045	880	838	256	282	126
AFG3	0	1	0	0	1	0	0	0	0	0	0	0	4	6	0	0	0	0
AFI1	54	50	106	70	79	45	88	80	71	71	58	105	130	66	108	64	82	83
AFR1	218	91	73	82	38	93	169	99	111	159	51	75	793	599	609	180	233	90
