exp,all_count,m_count,percentage,qual
DCk1_L00_R1,486927,341862,0.7020805993506214,16.302912392044576
DCk1_L00_R2,488805,349707,0.7154325344462515,16.105184963599864
DCk2_L00_R1,352285,258656,0.7342237109158778,16.48147723820651
DCk2_L00_R2,375236,274071,0.7303963372384312,16.10804210034435
DCk3_L00_R1,350239,259170,0.7399804133748669,16.498857279075494
DCk3_L00_R2,371621,274279,0.7380610891203673,16.13757561905139
pD1_L00_R1,328228,222221,0.6770324286776265,16.309471583889252
pD1_L00_R2,371752,256010,0.6886580300845725,16.034811416981537
pD2_L00_R1,258785,185193,0.7156249396216937,16.499081044264805
pD2_L00_R2,300930,215921,0.7175123782939554,16.17897248004221
pD3_L00_R1,713233,475642,0.6668816501760294,16.149094805135487
pD3_L00_R2,720653,494952,0.6868104344254446,16.10396535763736
pG1_L00_R1,304866,215119,0.7056182060315024,16.48778555324794
pG1_L00_R2,362887,256571,0.7070272564186648,16.09431728526927
pG2_L00_R1,264636,184083,0.6956083072597833,16.387302077945815
pG2_L00_R2,301084,214780,0.7133557412549322,16.157369427238624
pG3_L00_R1,288927,196924,0.6815700851772247,16.29288994673549
pG3_L00_R2,330973,227173,0.686379251479728,15.989452020609267
RD1_L00_R1,270833,197589,0.7295602825357324,16.496968510495677
RD1_L00_R2,294432,214626,0.7289492989892403,16.174733463237317
RD2_L00_R1,201776,147033,0.7286941955435731,16.477313842640346
RD2_L00_R2,219839,159538,0.7257038105158775,16.176367973642115
RD3_L00_R1,310043,217421,0.7012607928577649,16.382076466992352
RD3_L00_R2,338073,233888,0.6918269131223138,16.027738285325366
RG1_L00_R1,361374,244419,0.6763602251407129,16.313858050833918
RG1_L00_R2,386804,263279,0.6806522166265085,15.982168140238645
RG2_L00_R1,306580,207084,0.6754648052710549,16.321143291325296
RG2_L00_R2,326749,223216,0.6831421060202173,15.997551205488133
RG3_L00_R1,669851,416644,0.621995040688153,15.925613580299467
RG3_L00_R2,772632,436293,0.5646840928152083,15.201203734507292
Sov1_L00_R1,379771,270041,0.7110627193756237,16.467985914916426
Sov1_L00_R2,396813,279222,0.7036614223828352,16.073084812853864
Sov2_L00_R1,1759621,1172921,0.6665759274298272,16.322288935820538
Sov2_L00_R2,1809864,1219240,0.6736638775068182,15.96481326416461
Sov3_L00_R1,406347,284491,0.7001183717364715,16.365103964083783
Sov3_L00_R2,423707,296320,0.6993512025999098,15.994942873804126
YD1_L00_R1,348747,249943,0.7166886023392316,16.525578600922422
YD1_L00_R2,394295,282477,0.7164103019312951,16.298027545646914
YD2_L00_R1,243457,179785,0.738467162579018,16.604708384959345
YD2_L00_R2,286488,209873,0.7325716958476446,16.27034557425227
YD3_L00_R1,274246,201736,0.7356023424224966,16.864773660587034
YD3_L00_R2,321266,235100,0.7317923465290445,16.541977871396877
YG1_L00_R1,307558,219318,0.7130947658653002,16.52044941892016
YG1_L00_R2,327661,234312,0.7151049407772057,16.141888187447606
YG2_L00_R1,319402,225063,0.7046386685117814,16.515745841255356
YG2_L00_R2,333159,238954,0.7172371150111508,16.3262409042882
YG3_L00_R1,196946,143724,0.7297634884689204,16.58695765889992
YG3_L00_R2,213187,157119,0.7370008490198746,16.269619703086008
