exp,all_count,m_count,percentage,qual
DCk1_L00_R1,120113,82193,0.6842972867216705,15.320011789207543
DCk1_L00_R2,106212,67013,0.630936240726095,14.815033636082408
DCk2_L00_R1,86482,61340,0.7092805439282163,15.555087061804455
DCk2_L00_R2,75485,50537,0.669497251109492,14.74474847775287
DCk3_L00_R1,86566,61491,0.7103366217683618,15.552287984749588
DCk3_L00_R2,74221,49849,0.6716293232373587,14.692674879769571
pD1_L00_R1,118509,80477,0.6790792260503422,15.417962999499629
pD1_L00_R2,95491,63518,0.6651726340702265,14.664324499857068
pD2_L00_R1,95646,67701,0.7078288689542689,15.519075113845
pD2_L00_R2,73534,49365,0.6713221095003672,14.667614593039803
pD3_L00_R1,176216,118064,0.669995914105416,15.143208207887012
pD3_L00_R2,151132,95714,0.6333139242516476,14.641012750441993
pG1_L00_R1,111166,77933,0.701050680963604,15.481521724245765
pG1_L00_R2,99504,68046,0.6838519054510371,14.598945921462956
pG2_L00_R1,96488,67509,0.6996621341513971,15.485964928071796
pG2_L00_R2,75654,51532,0.6811536733021387,14.769350657919583
pG3_L00_R1,101201,68819,0.6800229246746574,15.297734001516414
pG3_L00_R2,82899,54577,0.6583553480741625,14.500458689038636
RD1_L00_R1,67944,48369,0.7118950900741787,15.610005788747573
RD1_L00_R2,61398,41967,0.6835238932864263,14.78555750138279
RD2_L00_R1,49110,35105,0.7148238647933212,15.599505505485038
RD2_L00_R2,45056,31093,0.6900967684659091,14.789671598697115
RD3_L00_R1,81543,56938,0.6982573611468795,15.49990093875948
RD3_L00_R2,85836,57510,0.669998601985181,14.625951697322922
RG1_L00_R1,95169,64648,0.6792968298500562,15.448039083937841
RG1_L00_R2,98635,62233,0.6309423632584782,14.597200386471929
RG2_L00_R1,82007,55245,0.6736620044630336,15.415157832637245
RG2_L00_R2,78622,51792,0.6587469156215817,14.605192405500633
RG3_L00_R1,165073,107015,0.6482889388331223,15.15884081279993
RG3_L00_R2,238483,137900,0.578238281135343,13.368793423909741
Sov1_L00_R1,98309,68185,0.6935784109288061,15.470661588175712
Sov1_L00_R2,100068,66008,0.6596314506135827,14.711157760739175
Sov2_L00_R1,457935,298423,0.6516710886916265,15.176253249879933
Sov2_L00_R2,415184,258077,0.6215966896604879,14.555388194318438
Sov3_L00_R1,105091,71779,0.6830175752443121,15.407278112633264
Sov3_L00_R2,95711,61157,0.6389756663288442,14.598968436033738
YD1_L00_R1,125268,89029,0.7107082415301593,15.547936015954228
YD1_L00_R2,96835,63495,0.6557029999483658,14.984177888573267
YD2_L00_R1,85993,62388,0.7255009128650006,15.656610501180642
YD2_L00_R2,64453,43902,0.6811475028315206,14.849122845117408
YD3_L00_R1,97268,70019,0.7198564790064564,15.709603591858695
YD3_L00_R2,71146,49132,0.6905799342197734,14.960172333608705
YG1_L00_R1,87506,61417,0.7018604438552785,15.662686368221207
YG1_L00_R2,81534,54737,0.6713395638629284,14.71268108305931
YG2_L00_R1,82324,57200,0.694815606627472,15.561393189518913
YG2_L00_R2,72564,49327,0.6797723389008323,14.891566866942421
YG3_L00_R1,49727,35654,0.7169947915619281,15.758321120186558
YG3_L00_R2,45731,31720,0.693621394677571,14.855706204678505
