exp,total_count,u_count,barcoded,u_barcoded,not_barcoded,u_nb,matched,u_matched,not_matched,u_nm,perc_barcoded,perc_matched
DCk1_L00_R1,459514,352494,411948,56862,47566,46590,291835,3137,120113,53662,0.8964862876865558,0.6350949046166167
DCk1_L00_R2,389398,348538,302574,57726,86824,85795,196362,3112,106212,54546,0.7770301850548795,0.5042706947647394
DCk2_L00_R1,343159,266084,309159,40500,34000,33406,222677,3099,86482,37354,0.9009205645196542,0.6489032780722639
DCk2_L00_R2,276518,255022,217574,43966,58944,58371,142089,3089,75485,40822,0.7868348534272633,0.5138508162217288
DCk3_L00_R1,349029,271335,312718,40313,36311,35658,226152,3116,86566,37144,0.8959656647441903,0.6479461592016709
DCk3_L00_R2,276488,255306,216613,43275,59875,59335,142392,3093,74221,40125,0.7834444894534301,0.515002459419577
pD1_L00_R1,482611,307791,435944,43866,46667,44118,317435,2632,118509,41196,0.9033030743186542,0.6577450576136888
pD1_L00_R2,343686,275386,270823,42577,72863,70281,175332,2583,95491,39943,0.7879954376960365,0.510151708245317
pD2_L00_R1,434365,278300,396583,34525,37782,35962,300937,2657,95646,31834,0.9130178536484294,0.6928205541422536
pD2_L00_R2,299049,242030,238333,34482,60716,58797,164799,2550,73534,31885,0.7969697273690933,0.5510769138167992
pD3_L00_R1,735602,432816,657829,59986,77773,69267,481613,2616,176216,57331,0.8942729900136215,0.6547195358359548
pD3_L00_R2,593063,414930,465446,57650,127617,118827,314314,2560,151132,55044,0.7848171273540923,0.5299841669434782
pG1_L00_R1,483362,280317,438831,37434,44531,40901,327665,2763,111166,34629,0.9078723606737807,0.6778873804726064
pG1_L00_R2,359408,270347,286891,41337,72517,69018,187387,2692,99504,38596,0.7982320927747852,0.5213768196589947
pG2_L00_R1,426884,260989,388720,35530,38164,35606,292232,2736,96488,32759,0.910598663805624,0.684570047132242
pG2_L00_R2,289560,226066,231468,34239,58092,55655,155814,2639,75654,31554,0.799378367177787,0.5381060920016577
pG3_L00_R1,440793,270002,397593,36955,43200,40146,296392,2630,101201,34286,0.9019948138922351,0.6724063222419594
