name	total_count
YD3_L00_R1	9216426
YD3_L00_R2	9216426
pD3_L00_R1	4301603
pD3_L00_R2	4301603
RG3_L00_R1	3790962
RG3_L00_R2	3790962
YD1_L00_R1	2317626
YD1_L00_R2	2317626
RG1_L00_R1	2262503
RG1_L00_R2	2262503
pG1_L00_R1	2182805
pG1_L00_R2	2182805
YG2_L00_R1	2158513
YG2_L00_R2	2158513
pD1_L00_R1	2137682
pD1_L00_R2	2137682
pG3_L00_R1	2060159
pG3_L00_R2	2060159
YG1_L00_R1	2019291
YG1_L00_R2	2019291
pD2_L00_R1	1987186
pD2_L00_R2	1987186
RD3_L00_R1	1953224
RD3_L00_R2	1953224
pG2_L00_R1	1939572
pG2_L00_R2	1939572
RG2_L00_R1	1905604
RG2_L00_R2	1905604
RD1_L00_R1	1742099
RD1_L00_R2	1742099
YD2_L00_R1	1705503
YD2_L00_R2	1705503
RD2_L00_R1	1354441
RD2_L00_R2	1354441
YG3_L00_R1	1344651
YG3_L00_R2	1344651
