gene_id	go_term
AIP5	NA
ARS1001	NA
ARS1002	NA
ARS1003	NA
ARS1004	NA
ARS1005	NA
ARS1006	NA
ARS1007	NA
ARS1008	NA
ARS1009	NA
ARS1010	NA
ARS1011	NA
ARS1012	NA
ARS1013	NA
ARS1014	NA
ARS1015	NA
ARS1016	NA
ARS1017	NA
ARS1018	NA
ARS1019	NA
ARS102	NA
ARS1020	NA
ARS1021	NA
ARS1022	NA
ARS1023	NA
ARS1024	NA
ARS1025	NA
ARS103	NA
ARS104	NA
ARS105	NA
ARS106	NA
ARS107	NA
ARS108	NA
ARS109	NA
ARS110	NA
ARS1102	NA
ARS1103	NA
ARS1104	NA
ARS1106	NA
ARS1109	NA
ARS111	NA
ARS1112	NA
ARS1113	NA
ARS1114	NA
ARS1115	NA
ARS1116	NA
ARS1118	NA
ARS112	NA
ARS1120	NA
ARS1123	NA
ARS1125	NA
ARS1126	NA
ARS1127	NA
ARS1200-1	NA
ARS1200-2	NA
ARS1202	NA
ARS1206	NA
ARS1207	NA
ARS1208	NA
ARS1209	NA
ARS1210	NA
ARS1211	NA
ARS1212	NA
ARS1212.5	NA
ARS1213	NA
ARS1214	NA
ARS1215	NA
ARS1216	NA
ARS1217	NA
ARS1218	NA
ARS1219	NA
ARS1220	NA
ARS1221	NA
ARS1223	NA
ARS1226	NA
ARS1228	NA
ARS1230	NA
ARS1232	NA
ARS1233	NA
ARS1234	NA
ARS1235	NA
ARS1238	NA
ARS1303	NA
ARS1304	NA
ARS1305	NA
ARS1307	NA
ARS1307.5	NA
ARS1308	NA
ARS1309	NA
ARS1310	NA
ARS1312	NA
ARS1316	NA
ARS1317	NA
ARS1319	NA
ARS1320	NA
ARS1321	NA
ARS1322	NA
ARS1323	NA
ARS1324	NA
ARS1325	NA
ARS1327	NA
ARS1328	NA
ARS1329	NA
ARS1330	NA
ARS1331	NA
ARS1332	NA
ARS1333	NA
ARS1335	NA
ARS1405	NA
ARS1406	NA
ARS1407	NA
ARS1409	NA
ARS1410	NA
ARS1411	NA
ARS1412	NA
ARS1413	NA
ARS1414	NA
ARS1415	NA
ARS1416	NA
ARS1417	NA
ARS1419	NA
ARS1420	NA
ARS1421	NA
ARS1422	NA
ARS1423	NA
ARS1424	NA
ARS1425	NA
ARS1426	NA
ARS1427	NA
ARS1501	NA
ARS1502	NA
ARS1507	NA
ARS1508	NA
ARS1509	NA
ARS1510	NA
ARS1511	NA
ARS1512	NA
ARS1513	NA
ARS1516	NA
ARS1518	NA
ARS1519	NA
ARS1521	NA
ARS1523	NA
ARS1524	NA
ARS1526	NA
ARS1528	NA
ARS1529	NA
ARS1531	NA
ARS1603	NA
ARS1604	NA
ARS1605	NA
ARS1607	NA
ARS1608	NA
ARS1611	NA
ARS1612	NA
ARS1614	NA
ARS1617	NA
ARS1618	NA
ARS1619	NA
ARS1620	NA
ARS1621	NA
ARS1622	NA
ARS1623	NA
ARS1624	NA
ARS1625	NA
ARS1626	NA
ARS1627	NA
ARS1628	NA
ARS1629	NA
ARS1630	NA
ARS1631	NA
ARS1632	NA
ARS1633	NA
ARS1634	NA
ARS1635	NA
ARS200	NA
ARS201	NA
ARS202	NA
ARS203	NA
ARS206	NA
ARS207	NA
ARS208	NA
ARS209	NA
ARS211	NA
ARS212	NA
ARS213	NA
ARS214	NA
ARS215	NA
ARS216	NA
ARS217	NA
ARS220	NA
ARS221	NA
ARS222	NA
ARS224	NA
ARS225	NA
ARS228	NA
ARS230	NA
ARS231	NA
ARS300	NA
ARS301	NA
ARS302	NA
ARS303	NA
ARS304	NA
ARS305	NA
ARS306	NA
ARS307	NA
ARS308	NA
ARS309	NA
ARS310	NA
ARS313	NA
ARS314	NA
ARS315	NA
ARS316	NA
ARS317	NA
ARS318	NA
ARS319	NA
ARS320	NA
ARS400	NA
ARS403	NA
ARS404	NA
ARS405	NA
ARS406	NA
ARS409	NA
ARS409.5	NA
ARS410	NA
ARS411	NA
ARS412	NA
ARS413	NA
ARS414	NA
ARS415	NA
ARS416	NA
ARS417	NA
ARS418	NA
ARS419	NA
ARS420	NA
ARS421	NA
ARS422	NA
ARS423	NA
ARS425	NA
ARS427	NA
ARS428	NA
ARS429	NA
ARS430	NA
ARS431	NA
ARS432	NA
ARS433	NA
ARS434	NA
ARS435	NA
ARS436	NA
ARS439	NA
ARS440	NA
ARS442	NA
ARS443	NA
ARS446	NA
ARS450	NA
ARS451	NA
ARS452	NA
ARS453	NA
ARS502	NA
ARS503	NA
ARS504	NA
ARS507	NA
ARS508	NA
ARS510	NA
ARS511	NA
ARS512	NA
ARS513	NA
ARS513.5	NA
ARS513.7	NA
ARS514	NA
ARS515	NA
ARS516	NA
ARS517	NA
ARS518	NA
ARS519	NA
ARS520	NA
ARS521	NA
ARS522	NA
ARS523	NA
ARS600	NA
ARS600.4	NA
ARS601	NA
ARS602	NA
ARS603	NA
ARS603.1	NA
ARS603.5	NA
ARS604	NA
ARS605	NA
ARS606	NA
ARS607	NA
ARS608	NA
ARS609	NA
ARS610	NA
ARS701	NA
ARS702	NA
ARS704	NA
ARS706	NA
ARS707	NA
ARS709	NA
ARS710	NA
ARS712	NA
ARS714	NA
ARS715	NA
ARS716	NA
ARS717	NA
ARS718	NA
ARS719	NA
ARS720	NA
ARS721	NA
ARS722	NA
ARS723	NA
ARS724	NA
ARS727	NA
ARS728	NA
ARS729	NA
ARS731	NA
ARS733	NA
ARS734	NA
ARS735	NA
ARS736	NA
ARS737	NA
ARS801	NA
ARS802	NA
ARS805	NA
ARS806	NA
ARS807	NA
ARS808	NA
ARS809	NA
ARS810	NA
ARS811	NA
ARS813	NA
ARS814	NA
ARS815	NA
ARS818	NA
ARS820	NA
ARS822	NA
ARS824	NA
ARS902	NA
ARS904	NA
ARS907	NA
ARS909	NA
ARS910	NA
ARS911	NA
ARS912	NA
ARS913	NA
ARS914	NA
ARS915	NA
ARS918	NA
ARS919	NA
ARS920	NA
ARS921	NA
ARS922	NA
ARS923	NA
ASL1	NA
AWA1	GO:0003674
AWA1	GO:0005575
AWA1	GO:0005618
AWA1	GO:0007155
AWA1	GO:0008150
AWA1	GO:0009277
AWA1	GO:0009987
